name	AMCSD_code
Ca3SiO5	017809
CaAl2O4	017810
Portlandite	000117
Portlandite	009874
Portlandite	009875
Portlandite	009876
Portlandite	009877
Portlandite	011777
Portlandite	012953
Portlandite	016656
Ettringite	009368
Ettringite	012178
Ettringite	014674
Aphthitalite	009708
Merwinite	000294
Gypsum	004651
Gypsum	011093
Grossite	009210
Grossite	017823
Nordstrandite	009375
Nordstrandite	014701
Bayerite	009134
Bayerite	010649
Katoite	001827
Katoite	002791
Katoite	016002
Aragonite	000233
Jennite	012177
Hatrurite	010872
Hatrurite	010938
Hatrurite	014729
Alite	017753
Kuzelite	014757
CaAl2(OH)8(H2O)2*1.84H2O	017822
Stratlingite	006404
Gibbsite	010761
Akermanite	017811
Akermanite	017812
Akermanite	007696
Akermanite	007697
Akermanite	007698
Akermanite	008030
Akermanite	008517
Akermanite	017151
Akermanite	014431
Akermanite	014432
Wustite	011314
Wustite	013893
Wustite	013894
Anhydrite	005117
Anhydrite	013866
Quartz	000789
Quartz	004266
Quartz	006212
Quartz	006362
Quartz	011007
Quartz	012866
Quartz	015462
Corundum	009325
Corundum	009327
Corundum	009699
Corundum	010593
Corundum	010607
Corundum	012859
Corundum	012914
Corundum	012921
Corundum	014072
Corundum	014077
Corundum	015110
Corundum	017671
Rutile	001736
Rutile	001737
Rutile	005164
Rutile	009161
Rutile	009404
Rutile	011762
Calcite	000098
Calcite	000585
Calcite	000984
Calcite	001327
Calcite	001328
Calcite	009873
Calcite	009890
Calcite	012867
Calcite	012868
Calcite	017650
Calcite	017593
Bassanite	006909
Bassanite	013867
Bassanite	013868
Bassanite	013869
Bassanite	013870
Periclase	000501
Periclase	006901
Periclase	006902
Periclase	006903
Periclase	006904
Periclase	008038
Lime	008276
Lime	011283
Lime	014079
Arcanite	009456
Brownmillerite	003425
Brownmillerite	003426
Brownmillerite	003427
Brownmillerite	003428
Brownmillerite	003429
Brownmillerite	003430
Brownmillerite	003431
Brownmillerite	003432
Brownmillerite	003433
Brownmillerite	003434
Brownmillerite	003435
Brownmillerite	003436
Brownmillerite	003437
Brownmillerite	003438
Brownmillerite	003439
Brownmillerite	003440
Brownmillerite	003441
Brownmillerite	003442
Brownmillerite	009431
Brownmillerite	017759
Brownmillerite	017766
Brownmillerite	017771
Al6Ca9O18	009531
Larnite	012179
Larnite	012180
Larnite	012181
Larnite	012182
Larnite	012183
Larnite	012184
Perovskite	002890
Perovskite	002891
Perovskite	002892
Perovskite	005501
Perovskite	006288
Perovskite	007754
Gehlenite	005090
Gehlenite	007694
Gehlenite	007695
Ca20Al32-2vMgvSivO68	017814
Ca8.5NaAl6O18	017813
Ca3SiO5	017826
