Mineral	AMCSD ID	AMCSD ID	Notes
Akaganeite	_database_code_amcsd 0003079	3079	Corrosion crust on the Campo del Cielo meteorite
Andesine	_database_code_amcsd 0001052	1052	An48, natural sample from the Hogarth Ranges, Australia
Anorthite	_database_code_amcsd 0001287	1287	An100, natural sample from Monte Somma, Italy
Arcanite	_database_code_amcsd 0009456	9456	Synthetic
Bassanite	_database_code_amcsd 0013868	13868	Natural sample from Maurienne, France
Clinoenstatite	_database_code_amcsd 0002801	2801	Synthetic
Enstatite	_database_code_amcsd 0010680	10680	Mg end-member orthopyroxene, natural sample from the Bishopville meteorite
Ferrosilite	_database_code_amcsd 0000487	487	Fe end-member orthopyroxene, synthetic
Forsterite	_database_code_amcsd 0002674	2674	Fo100 synthetic
Hematite	_database_code_amcsd 0000143	143	Natural sample from Elba, Italy
Hydroniumjarosite	_database_code_amcsd 0004441	4441	Synthetic
Labradorite	_database_code_amcsd 0000760	760	An65, natural sample from Lake County, Oregon, USA
Maghemite	_database_code_amcsd 0007898	7898	Ideal fully disordered state
Microcline	_database_code_amcsd 0000962	962	Or89Ab11
Oligoclase	_database_code_amcsd 0010721	10721	An16, natural sample from Camedo, Switzerland
Orthoclase	_database_code_amcsd 0000167	167	Or100, natural sample from St. Gotthard, Switzerland, known as Spencer C
Pigeonite	_database_code_amcsd 0000209	209	En41Fs59Wo8, natural sample from Isle of Mull, Scotland
Rozenite	_database_code_amcsd 0009276	9276	Synthetic
Starkeyite	_database_code_amcsd 0009287	9287	Synthetic
Albite	_database_code_amcsd 0001682	1682	An0, natural sample from Crete
Albite-high	_database_code_amcsd 0000536	536	An0, completely disordered albite
Anhydrite	_database_code_amcsd 0005117	5117	Natural sample from Leopoldshall, East Germany
Anorthoclase	_database_code_amcsd 0000874	874	Or32.5Ab66.7An0.8, natural sample from Grande Caldeira, Azores
Augite	_database_code_amcsd 0000001	1	Ca.6 Mg.9 Fe.2 Al.3, natural sample from Kakanui, New Zealand
Bytownite	_database_code_amcsd 0009655	9655	An86, natural sample from the western Alps, Italy. Heated, then quenched. Need to replace this data set.
Cristobalite	_database_code_amcsd 0001629	1629	Natural sample from Ellora caves, India
Fayalite	_database_code_amcsd 0000567	567	Fa100 synthetic
Fluorapatite	_database_code_amcsd 0001256	1256	Natural sample from Durango, Mexico
Gypsum	_database_code_amcsd 0011093	11093	Synthetic
Hornblende	_database_code_amcsd 0001249	1249	Natural sample
Ilmenite	_database_code_amcsd 0009082	9082	Synthetic
Jarosite	_database_code_amcsd 0020094	20094	Natural sample from Jaroso Ravine, Andalusia, Spain
Magnetite	_database_code_amcsd 0000945	945	Synthetic sample, cell parameters are most similar to the average pure magnetite (V = 591.785 &#197;)
Natrojarosite	_database_code_amcsd 0004576	4576	Synthetic
Olivine - Forsterite50:Fayalite50	_database_code_amcsd 0000174	174	Fo50Fa50, with cell parameters fit to olivine trend lines
Orthopyroxene	_database_code_amcsd 0004556	4556	En46Fs48, natural sample
Quartz	_database_code_amcsd 0006362	6362	Natural sample
Sanidine	_database_code_amcsd 0010740	10740	Or100, natural sample from Volkesfeld, Eifel
Tridymite	_database_code_amcsd 0006615	6615	Triclinic
