#2-THETA,#INTENSITY
3,378
3.05,180
3.1,292
3.15,330
3.2,272
3.25,241
3.3,283
3.35,246
3.4,232
3.45,276
3.5,218
3.55,187
3.6,229
3.65,305
3.7,273
3.75,212
3.8,189
3.85,195
3.9,249
3.95,183
4,197
4.05,171
4.1,195
4.15,205
4.2,242
4.25,198
4.3,221
4.35,244
4.4,139
4.45,141
4.5,196
4.55,287
4.6,184
4.65,176
4.7,180
4.75,154
4.8,193
4.85,211
4.9,181
4.95,145
5,190
5.05,193
5.1,183
5.15,172
5.2,187
5.25,238
5.3,194
5.35,218
5.4,232
5.45,200
5.5,247
5.55,193
5.6,220
5.65,207
5.7,282
5.75,286
5.8,370
5.85,302
5.9,374
5.95,352
6,375
6.05,509
6.1,583
6.15,689
6.2,705
6.25,842
6.3,855
6.35,838
6.4,967
6.45,886
6.5,1059
6.55,1072
6.6,1068
6.65,1033
6.7,959
6.75,720
6.8,770
6.85,577
6.9,602
6.95,558
7,418
7.05,368
7.1,348
7.15,320
7.2,283
7.25,262
7.3,259
7.35,251
7.4,227
7.45,214
7.5,256
7.55,207
7.6,164
7.65,186
7.7,212
7.75,214
7.8,150
7.85,167
7.9,130
7.95,203
8,171
8.05,186
8.1,150
8.15,157
8.2,201
8.25,164
8.3,161
8.35,97
8.4,177
8.45,218
8.5,142
8.55,135
8.6,175
8.65,167
8.7,144
8.75,144
8.8,154
8.85,155
8.9,170
8.95,125
9,189
9.05,150
9.1,135
9.15,137
9.2,135
9.25,99
9.3,144
9.35,146
9.4,192
9.45,126
9.5,185
9.55,132
9.6,147
9.65,150
9.7,123
9.75,178
9.8,143
9.85,187
9.9,204
9.95,158
10,177
10.05,153
10.1,146
10.15,168
10.2,151
10.25,184
10.3,136
10.35,167
10.4,169
10.45,159
10.5,157
10.55,153
10.6,149
10.65,156
10.7,122
10.75,131
10.8,156
10.85,178
10.9,102
10.95,142
11,159
11.05,136
11.1,158
11.15,161
11.2,198
11.25,151
11.3,168
11.35,153
11.4,190
11.45,183
11.5,228
11.55,355
11.6,410
11.65,471
11.7,464
11.75,404
11.8,360
11.85,315
11.9,212
11.95,215
12,245
12.05,274
12.1,246
12.15,262
12.2,254
12.25,334
12.3,360
12.35,322
12.4,264
12.45,329
12.5,277
12.55,344
12.6,398
12.65,981
12.7,2399
12.75,5433
12.8,7810
12.85,10000
12.9,9669
12.95,8357
13,5779
13.05,3154
13.1,1363
13.15,646
13.2,381
13.25,315
13.3,266
13.35,282
13.4,244
13.45,267
13.5,217
13.55,240
13.6,236
13.65,194
13.7,221
13.75,193
13.8,165
13.85,202
13.9,171
13.95,172
14,164
14.05,169
14.1,181
14.15,173
14.2,148
14.25,148
14.3,169
14.35,180
14.4,174
14.45,193
14.5,170
14.55,187
14.6,174
14.65,161
14.7,180
14.75,141
14.8,133
14.85,210
14.9,168
14.95,186
15,221
15.05,169
15.1,207
15.15,213
15.2,201
15.25,179
15.3,223
15.35,225
15.4,205
15.45,184
15.5,172
15.55,226
15.6,206
15.65,202
15.7,238
15.75,200
15.8,208
15.85,279
15.9,217
15.95,231
16,254
16.05,232
16.1,239
16.15,273
16.2,274
16.25,247
16.3,289
16.35,256
16.4,248
16.45,233
16.5,298
16.55,296
16.6,312
16.65,265
16.7,268
16.75,284
16.8,267
16.85,266
16.9,256
16.95,258
17,292
17.05,302
17.1,256
17.15,255
17.2,218
17.25,269
17.3,281
17.35,245
17.4,254
17.45,259
17.5,277
17.55,239
17.6,245
17.65,253
17.7,223
17.75,262
17.8,246
17.85,225
17.9,275
17.95,285
18,261
18.05,289
18.1,299
18.15,247
18.2,227
18.25,205
18.3,219
18.35,264
18.4,254
18.45,270
18.5,225
18.55,248
18.6,198
18.65,267
18.7,228
18.75,263
18.8,276
18.85,249
18.9,280
18.95,274
19,222
19.05,230
19.1,285
19.15,257
19.2,301
19.25,279
19.3,264
19.35,284
19.4,268
19.45,256
19.5,232
19.55,257
19.6,261
19.65,253
19.7,297
19.75,235
19.8,254
19.85,241
19.9,294
19.95,257
20,267
20.05,265
20.1,310
20.15,301
20.2,277
20.25,387
20.3,349
20.35,335
20.4,315
20.45,337
20.5,275
20.55,232
20.6,256
20.65,234
20.7,241
20.75,293
20.8,259
20.85,276
20.9,278
20.95,312
21,262
21.05,263
21.1,269
21.15,293
21.2,291
21.25,308
21.3,316
21.35,287
21.4,306
21.45,308
21.5,292
21.55,286
21.6,265
21.65,287
21.7,256
21.75,302
21.8,277
21.85,277
