#2-THETA,#INTENSITY
3,7335
3.05,7975
3.1,6764
3.15,7575
3.2,7175
3.25,6613
3.3,6652
3.35,6172
3.4,6346
3.45,6266
3.5,6076
3.55,6242
3.6,5277
3.65,5749
3.7,5590
3.75,5491
3.8,5952
3.85,4176
3.9,5358
3.95,4774
4,4853
4.05,5655
4.1,4148
4.15,4801
4.2,3885
4.25,4275
4.3,4447
4.35,3840
4.4,4123
4.45,3873
4.5,3803
4.55,4550
4.6,3308
4.65,4188
4.7,3487
4.75,3494
4.8,3863
4.85,3360
4.9,3662
4.95,3450
5,3264
5.05,3496
5.1,3616
5.15,3731
5.2,3319
5.25,3341
5.3,3099
5.35,3056
5.4,3248
5.45,3351
5.5,2979
5.55,3511
5.6,3185
5.65,2937
5.7,2728
5.75,2753
5.8,3016
5.85,2968
5.9,2835
5.95,3010
6,2953
6.05,2681
6.1,2835
6.15,2954
6.2,2893
6.25,2740
6.3,2853
6.35,2783
6.4,2692
6.45,2773
6.5,2620
6.55,2879
6.6,2622
6.65,2625
6.7,3210
6.75,2716
6.8,2670
6.85,2595
6.9,2837
6.95,2595
7,2496
7.05,2553
7.1,2825
7.15,2845
7.2,2731
7.25,2619
7.3,2335
7.35,2512
7.4,2612
7.45,2667
7.5,2612
7.55,2774
7.6,2842
7.65,2565
7.7,2674
7.75,2525
7.8,2658
7.85,2407
7.9,2707
7.95,2660
8,2539
8.05,2644
8.1,2618
8.15,2546
8.2,2622
8.25,2444
8.3,2399
8.35,2414
8.4,2735
8.45,2459
8.5,2349
8.55,2729
8.6,2435
8.65,2613
8.7,2602
8.75,2482
8.8,2955
8.85,2506
8.9,2444
8.95,2414
9,2405
9.05,2611
9.1,2472
9.15,2756
9.2,2575
9.25,2492
9.3,2672
9.35,2532
9.4,2446
9.45,2618
9.5,2704
9.55,2478
9.6,2494
9.65,2621
9.7,2762
9.75,2537
9.8,2588
9.85,2702
9.9,2655
9.95,2493
10,2819
10.05,2531
10.1,2685
10.15,2592
10.2,2764
10.25,2747
10.3,2624
10.35,2819
10.4,2660
10.45,2780
10.5,2488
10.55,2400
10.6,2408
10.65,2360
10.7,2319
10.75,2146
10.8,2274
10.85,2236
10.9,1989
10.95,2057
11,2079
11.05,1915
11.1,2149
11.15,1874
11.2,1753
11.25,1840
11.3,1874
11.35,1759
11.4,1632
11.45,1646
11.5,1482
11.55,1631
11.6,1738
11.65,1777
11.7,1465
11.75,1619
11.8,1486
11.85,1548
11.9,1606
11.95,1485
12,1482
12.05,1656
12.1,1683
12.15,1568
12.2,1581
12.25,1539
12.3,1649
12.35,1509
12.4,1457
12.45,1601
12.5,1601
12.55,1473
12.6,1655
12.65,1566
12.7,1575
12.75,1461
12.8,1428
12.85,1455
12.9,1460
12.95,1447
13,1561
13.05,1413
13.1,1674
13.15,1471
13.2,1585
13.25,1373
13.3,1443
13.35,1317
13.4,1316
13.45,1399
13.5,1424
13.55,1461
13.6,1628
13.65,1630
13.7,1615
13.75,1671
13.8,1481
13.85,1673
13.9,1654
13.95,1569
14,1435
14.05,1537
14.1,1635
14.15,1603
14.2,1529
14.25,1430
14.3,1504
14.35,1427
14.4,1575
14.45,1621
14.5,1462
14.55,1513
14.6,1546
14.65,1536
14.7,1486
14.75,1489
14.8,1529
14.85,1454
14.9,1475
14.95,1539
15,1535
15.05,1457
15.1,1464
15.15,1576
15.2,1507
15.25,1502
15.3,1676
15.35,1464
15.4,1526
15.45,1540
15.5,1624
15.55,1574
15.6,1791
15.65,1658
15.7,1682
15.75,1801
15.8,2047
15.85,2241
15.9,2433
15.95,2381
16,2360
16.05,2081
16.1,2010
16.15,1930
16.2,1653
16.25,1632
16.3,1715
16.35,1643
16.4,1694
16.45,1568
16.5,1578
16.55,1683
16.6,1573
16.65,1641
16.7,1581
16.75,1615
16.8,1704
16.85,1962
16.9,2130
16.95,2142
17,2266
17.05,2245
17.1,2200
17.15,1869
17.2,1734
17.25,1799
17.3,1625
17.35,1703
17.4,1783
17.45,1707
17.5,1854
17.55,1800
17.6,1922
17.65,1862
17.7,1864
17.75,1910
17.8,1942
17.85,1774
17.9,1797
17.95,1929
18,1910
18.05,1929
18.1,1995
18.15,1857
18.2,1915
18.25,1984
18.3,1888
18.35,1953
18.4,1916
18.45,1837
18.5,1761
18.55,1991
18.6,1985
18.65,1950
18.7,2054
18.75,2015
18.8,2041
18.85,1878
18.9,1970
18.95,1933
19,1963
19.05,1937
19.1,1935
19.15,1876
19.2,2033
19.25,1897
19.3,1684
19.35,1925
19.4,1826
19.45,1835
19.5,2039
19.55,1861
19.6,1823
19.65,1939
19.7,1942
19.75,1881
19.8,1950
19.85,1986
19.9,1944
19.95,2073
20,1903
20.05,1934
20.1,2006
20.15,1799
20.2,1855
20.25,1895
20.3,1747
20.35,1867
20.4,1828
20.45,1737
20.5,1888
20.55,1816
20.6,1784
20.65,1834
20.7,1677
20.75,1886
20.8,1824
20.85,1827
20.9,1760
20.95,1809
21,1757
21.05,1725
21.1,1926
21.15,2113
21.2,2276
21.25,2344
21.3,2257
21.35,2121
21.4,1967
21.45,1933
21.5,1815
21.55,1819
21.6,1907
21.65,1704
21.7,1788
21.75,1935
21.8,1949
21.85,2060
21.9,2112
21.95,2139
22,2106
22.05,2126
22.1,2162
22.15,2098
22.2,2226
22.25,2204
22.3,2425
22.35,2563
22.4,2676
22.45,2882
22.5,2786
22.55,2482
22.6,2551
22.65,2539
22.7,2360
22.75,2356
22.8,2252
22.85,2346
22.9,2302
22.95,2223
23,2397
23.05,2415
23.1,2447
23.15,2494
23.2,2609
23.25,2297
23.3,2312
23.35,2308
23.4,2325
23.45,2176
23.5,2123
23.55,2204
23.6,2161
23.65,2221
23.7,2261
23.75,2247
23.8,2293
23.85,2346
23.9,2215
23.95,2265
24,2152
24.05,2167
24.1,2102
24.15,2189
24.2,2140
24.25,2240
24.3,2241
24.35,2111
24.4,2169
24.45,2275
24.5,2169
24.55,2212
24.6,2150
24.65,2133
24.7,2167
24.75,2144
24.8,2217
24.85,2361
24.9,2070
24.95,2247
25,2369
25.05,2253
25.1,2325
25.15,2421
25.2,2607
25.25,2950
25.3,3499
25.35,4247
25.4,4861
25.45,5686
25.5,6337
25.55,6228
25.6,5574
25.65,4601
25.7,3711
25.75,3025
25.8,2671
25.85,2318
25.9,2121
25.95,2296
26,2208
26.05,2044
26.1,2218
26.15,2365
26.2,2409
26.25,2479
26.3,2589
26.35,2697
26.4,2723
26.45,2948
26.5,3100
26.55,3036
26.6,3086
26.65,2784
26.7,2645
26.75,2496
26.8,2485
26.85,2209
26.9,2039
26.95,2178
27,2159
27.05,2060
27.1,2166
27.15,2429
27.2,2374
27.25,2825
27.3,3022
27.35,3504
27.4,4168
27.45,4707
27.5,4743
27.55,4820
27.6,4344
27.65,3839
27.7,3555
27.75,3080
27.8,2800
27.85,2555
27.9,2290
27.95,2352
28,2359
28.05,2416
28.1,2519
28.15,2724
28.2,3001
28.25,2964
28.3,3345
28.35,3368
28.4,3490
28.45,3251
28.5,3033
28.55,2834
28.6,2526
28.65,2412
28.7,2340
28.75,2252
28.8,2210
28.85,2228
28.9,2200
28.95,2315
29,2359
29.05,2474
29.1,2635
29.15,2615
29.2,2754
29.25,2794
29.3,3048
29.35,3474
29.4,3514
29.45,4146
29.5,4409
29.55,4404
29.6,4429
29.65,4144
29.7,3950
29.75,3726
29.8,3479
29.85,3201
29.9,2884
29.95,2924
30,2707
30.05,2722
30.1,2854
30.15,2497
30.2,2611
30.25,2531
30.3,2327
30.35,2347
30.4,2288
30.45,2454
30.5,2447
30.55,2643
30.6,2809
30.65,2710
30.7,2941
30.75,3085
30.8,3056
30.85,3026
30.9,3021
30.95,3017
31,3068
31.05,3002
31.1,3065
31.15,2928
31.2,2757
31.25,2786
31.3,2753
31.35,2626
31.4,2428
31.45,2492
31.5,2444
31.55,2791
31.6,2569
31.65,2934
31.7,2885
31.75,2878
31.8,2993
31.85,3288
31.9,3768
31.95,4123
32,4682
32.05,5469
32.1,6547
32.15,7551
32.2,8697
32.25,9538
32.3,10000
32.35,9878
32.4,9599
32.45,9297
32.5,8628
32.55,8149
32.6,7556
32.65,6594
32.7,5598
32.75,4810
32.8,4001
32.85,3431
32.9,3135
32.95,3119
33,3398
33.05,3452
33.1,3266
33.15,3148
33.2,2976
33.25,2686
33.3,2438
33.35,2102
33.4,1999
33.45,1933
33.5,2135
33.55,2012
33.6,2035
33.65,1891
33.7,2058
33.75,1987
33.8,2079
33.85,1984
33.9,1925
33.95,2023
34,2108
34.05,2122
34.1,2270
34.15,2358
34.2,2575
34.25,2745
34.3,3437
34.35,3832
34.4,4244
34.45,4783
34.5,4810
34.55,5170
34.6,5177
34.65,4961
34.7,4759
34.75,4245
34.8,3995
34.85,3447
34.9,3320
34.95,3395
35,3791
35.05,3734
35.1,4139
35.15,4211
35.2,4188
35.25,3993
35.3,3772
35.35,3798
35.4,3506
35.45,3357
35.5,3260
35.55,3257
35.6,3324
35.65,3225
35.7,3380
35.75,3506
35.8,3608
35.85,3916
35.9,3899
35.95,3776
36,3653
36.05,3138
36.1,2798
36.15,2617
36.2,2407
36.25,2393
36.3,2117
36.35,2328
36.4,2320
36.45,2591
36.5,2909
36.55,2991
36.6,3032
36.65,3102
36.7,2838
36.75,2838
36.8,2535
36.85,2664
36.9,2325
36.95,2469
37,2551
37.05,2469
37.1,2657
37.15,2834
37.2,2651
37.25,2843
37.3,2780
37.35,2562
37.4,2483
37.45,2513
37.5,2318
37.55,2278
37.6,2118
37.65,2123
37.7,1914
37.75,1963
37.8,1912
37.85,1903
37.9,1890
37.95,1773
38,1751
38.05,1939
38.1,2040
38.15,1947
38.2,1917
38.25,2115
38.3,2063
38.35,1932
38.4,1919
38.45,2009
38.5,2083
38.55,2061
38.6,2094
38.65,1944
38.7,1969
38.75,1748
38.8,1608
38.85,1721
38.9,1698
38.95,1722
39,1719
39.05,1604
39.1,1730
39.15,1918
39.2,1817
39.25,1865
39.3,2049
39.35,2147
39.4,2002
39.45,1899
39.5,1922
39.55,1915
39.6,1968
39.65,1838
39.7,1947
39.75,1880
39.8,2065
39.85,2154
39.9,2007
39.95,2016
40,1973
40.05,1970
40.1,1976
40.15,1944
40.2,2151
40.25,2008
40.3,2104
40.35,2118
40.4,2338
40.45,2540
40.5,2649
40.55,2834
40.6,3043
40.65,3220
40.7,3317
40.75,3408
40.8,3251
40.85,3157
40.9,3080
40.95,2906
41,3006
41.05,2898
41.1,3207
41.15,3442
41.2,4329
41.25,4928
41.3,5781
41.35,6459
41.4,6915
41.45,7387
41.5,7297
41.55,7069
41.6,6188
41.65,5404
41.7,4729
41.75,4464
41.8,3803
41.85,3632
41.9,3198
41.95,3007
42,3158
42.05,2932
42.1,3075
42.15,2927
42.2,3221
42.25,2973
42.3,3108
42.35,2982
42.4,2814
42.45,2806
42.5,2582
42.55,2437
42.6,2340
42.65,2197
42.7,2184
42.75,2182
42.8,2053
42.85,2028
42.9,1960
42.95,1938
43,1787
43.05,1727
43.1,1767
43.15,1648
43.2,1763
43.25,1817
43.3,1693
43.35,1866
43.4,1840
43.45,1822
43.5,1940
43.55,1961
43.6,1877
43.65,1787
43.7,1825
43.75,1778
43.8,1703
43.85,1865
43.9,1706
43.95,1717
44,1639
44.05,1754
44.1,1876
44.15,1744
44.2,1724
44.25,1707
44.3,1646
44.35,1596
44.4,1615
44.45,1583
44.5,1595
44.55,1611
44.6,1569
44.65,1522
44.7,1555
44.75,1525
44.8,1722
44.85,1643
44.9,1712
44.95,1657
45,1621
45.05,1637
45.1,1760
45.15,1848
45.2,1820
45.25,1702
45.3,1700
45.35,1730
45.4,1628
45.45,1695
45.5,1585
45.55,1614
45.6,1721
45.65,1558
45.7,1736
45.75,1859
45.8,1866
45.85,1984
45.9,1931
45.95,1838
46,1892
46.05,1946
46.1,1936
46.15,1770
46.2,1876
46.25,1691
46.3,1641
46.35,1645
