#2-THETA,#INTENSITY
3,7808
3.05,7448
3.1,6987
3.15,7732
3.2,6676
3.25,6321
3.3,6709
3.35,5547
3.4,5829
3.45,5663
3.5,5006
3.55,5712
3.6,4899
3.65,5078
3.7,4912
3.75,4515
3.8,5052
3.85,3906
3.9,4724
3.95,4239
4,4504
4.05,4387
4.1,3497
4.15,4226
4.2,3520
4.25,3965
4.3,3846
4.35,3550
4.4,3696
4.45,3381
4.5,3492
4.55,3626
4.6,3196
4.65,3603
4.7,3289
4.75,3222
4.8,3309
4.85,3301
4.9,3201
4.95,3352
5,2906
5.05,3129
5.1,3064
5.15,3085
5.2,3025
5.25,2943
5.3,2898
5.35,2838
5.4,2767
5.45,2877
5.5,2676
5.55,2735
5.6,2917
5.65,2714
5.7,2887
5.75,3017
5.8,2665
5.85,2892
5.9,2709
5.95,2681
6,2654
6.05,2734
6.1,2768
6.15,2747
6.2,2727
6.25,2791
6.3,2869
6.35,2773
6.4,2842
6.45,2987
6.5,2830
6.55,2950
6.6,2850
6.65,2934
6.7,2746
6.75,2916
6.8,2965
6.85,2909
6.9,2953
6.95,2938
7,3234
7.05,3038
7.1,2854
7.15,3151
7.2,2989
7.25,3072
7.3,2988
7.35,2966
7.4,2881
7.45,3185
7.5,2937
7.55,2764
7.6,2856
7.65,2827
7.7,2912
7.75,2847
7.8,2932
7.85,2848
7.9,2619
7.95,2775
8,2719
8.05,2534
8.1,2474
8.15,2688
8.2,2575
8.25,2561
8.3,2405
8.35,2294
8.4,2341
8.45,2283
8.5,2363
8.55,2403
8.6,2254
8.65,2307
8.7,2266
8.75,2221
8.8,2269
8.85,2193
8.9,2204
8.95,2308
9,2125
9.05,2110
9.1,2174
9.15,2071
9.2,1897
9.25,1955
9.3,2013
9.35,2038
9.4,1899
9.45,1885
9.5,1950
9.55,2017
9.6,1963
9.65,1991
9.7,1914
9.75,1940
9.8,1879
9.85,1992
9.9,1711
9.95,1918
10,1951
10.05,1755
10.1,1947
10.15,1823
10.2,1748
10.25,1772
10.3,1700
10.35,1842
10.4,1711
10.45,1698
10.5,1618
10.55,1726
10.6,1643
10.65,1560
10.7,1585
10.75,1592
10.8,1679
10.85,1575
10.9,1467
10.95,1532
11,1516
11.05,1584
11.1,1402
11.15,1433
11.2,1443
11.25,1402
11.3,1471
11.35,1302
11.4,1401
11.45,1353
11.5,1290
11.55,1311
11.6,1360
11.65,1315
11.7,1276
11.75,1291
11.8,1234
11.85,1069
11.9,1229
11.95,1255
12,1208
12.05,1252
12.1,1229
12.15,1209
12.2,1164
12.25,1183
12.3,1276
