#2-THETA,#INTENSITY
3,3017
3.049,3069
3.098,2772
3.147,2706
3.196,2878
3.245,2233
3.294,2576
3.343,2487
3.392,2405
3.441,2410
3.49,1966
3.539,2234
3.588,2050
3.637,2028
3.686,2181
3.735,1795
3.784,1875
3.833,1889
3.882,1818
3.931,1986
3.98,1569
4.029,1788
4.078,1648
4.127,1625
4.176,1822
4.225,1427
4.274,1514
4.323,1470
4.372,1414
4.421,1538
4.47,1378
4.519,1440
4.568,1454
4.617,1362
4.666,1422
4.715,1286
4.764,1238
4.813,1228
4.862,1233
4.911,1238
4.96,1229
5.009,1184
5.058,1196
5.107,1216
5.156,1172
5.205,1133
5.254,1197
5.303,1185
5.352,1182
5.401,1110
5.45,1082
5.499,1080
5.548,1086
5.597,1076
5.646,1083
5.695,1061
5.744,1050
5.793,1043
5.842,1001
5.891,978
5.94,955
5.989,981
6.038,1016
6.087,930
6.136,927
6.185,912
6.234,955
6.283,912
6.332,850
6.381,892
6.43,922
6.479,915
6.528,923
6.577,927
6.626,904
6.675,831
6.724,888
6.773,818
6.822,806
6.871,880
6.92,864
6.969,859
7.018,844
7.067,830
7.116,808
7.165,748
7.214,813
7.263,860
7.312,763
7.361,782
7.41,775
7.459,742
7.508,858
7.557,777
7.606,731
7.655,799
7.704,738
7.753,735
7.802,778
7.851,774
7.9,773
7.949,800
7.998,743
8.047,696
8.096,783
8.145,752
8.194,775
8.243,700
8.292,682
8.341,742
8.39,721
8.439,672
8.488,667
8.537,679
8.586,677
8.635,711
8.684,719
8.733,718
8.782,702
8.831,721
8.88,707
8.929,733
8.978,707
9.027,712
9.076,682
9.125,708
9.174,676
9.223,687
9.272,651
9.321,702
9.37,675
9.419,695
9.468,675
9.517,705
9.566,689
9.615,631
9.664,646
9.713,705
9.762,682
9.811,641
9.86,688
9.909,692
9.958,698
10.007,688
10.056,706
10.105,686
10.154,758
10.203,736
10.252,775
10.301,751
10.35,725
10.399,735
10.448,664
10.497,646
10.546,617
10.595,642
10.644,639
10.693,620
10.742,666
10.791,602
10.84,593
10.889,603
10.938,605
10.987,575
11.036,592
11.085,582
11.134,548
11.183,556
11.232,542
11.281,531
11.33,527
11.379,511
11.428,567
11.477,519
11.526,502
11.575,543
11.624,502
11.673,504
11.722,511
11.771,506
11.82,527
11.869,508
11.918,519
11.967,494
12.016,502
12.065,517
12.114,511
12.163,473
12.212,505
12.261,476
12.31,502
12.359,495
12.408,502
12.457,503
12.506,491
12.555,492
12.604,519
12.653,506
12.702,529
12.751,493
12.8,495
12.849,488
12.898,505
12.947,518
12.996,511
13.045,489
13.094,490
13.143,506
13.192,479
13.241,484
13.29,517
13.339,484
13.388,500
13.437,499
13.486,523
13.535,538
13.584,532
13.633,499
13.682,496
13.731,507
13.78,575
13.829,502
