#2-THETA,#INTENSITY
3,82
3.049,89
3.098,81
3.147,95
3.196,84
3.245,84
3.294,92
3.343,80
3.392,77
3.441,88
3.49,97
3.539,69
3.588,84
3.637,67
3.686,69
3.735,49
3.784,67
3.833,77
3.882,58
3.931,86
3.98,50
4.029,64
4.078,67
4.127,64
4.176,72
4.225,55
4.274,69
4.323,50
4.372,79
4.421,73
4.47,57
4.519,73
4.568,61
4.617,52
4.666,63
4.715,79
4.764,58
4.813,75
4.862,70
4.911,61
4.96,65
5.009,59
5.058,79
5.107,67
5.156,81
5.205,61
5.254,56
5.303,85
5.352,65
5.401,59
5.45,81
5.499,86
5.548,82
5.597,71
5.646,92
5.695,83
5.744,110
5.793,115
5.842,104
5.891,128
5.94,137
5.989,149
6.038,140
6.087,159
6.136,201
6.185,222
6.234,246
6.283,256
6.332,288
6.381,287
6.43,309
6.479,313
6.528,315
6.577,276
6.626,258
6.675,275
6.724,250
6.773,196
6.822,196
6.871,159
6.92,167
6.969,153
7.018,136
7.067,112
7.116,98
7.165,98
7.214,103
7.263,83
7.312,80
7.361,91
7.41,78
7.459,68
7.508,72
7.557,60
7.606,69
7.655,82
7.704,60
7.753,68
7.802,69
7.851,70
7.9,66
7.949,65
7.998,63
8.047,60
8.096,63
8.145,54
8.194,50
8.243,76
8.292,60
8.341,72
8.39,60
8.439,62
8.488,56
8.537,60
8.586,68
8.635,51
8.684,52
8.733,58
8.782,74
8.831,56
8.88,63
8.929,58
8.978,47
9.027,51
9.076,64
9.125,55
9.174,50
9.223,60
9.272,71
9.321,44
9.37,54
9.419,53
9.468,58
9.517,54
9.566,50
9.615,62
9.664,58
9.713,62
9.762,52
9.811,52
9.86,60
9.909,63
9.958,56
10.007,64
10.056,62
10.105,53
10.154,49
10.203,56
10.252,55
10.301,51
10.35,56
10.399,49
10.448,57
10.497,60
10.546,56
10.595,47
10.644,52
10.693,51
10.742,59
10.791,63
10.84,56
10.889,62
10.938,49
10.987,63
11.036,54
11.085,58
11.134,70
11.183,63
11.232,64
11.281,62
11.33,51
11.379,69
11.428,65
11.477,112
11.526,170
11.575,264
11.624,355
11.673,352
11.722,330
11.771,291
11.82,167
11.869,146
11.918,127
11.967,124
12.016,139
12.065,142
12.114,137
12.163,120
12.212,141
12.261,149
12.31,142
12.359,146
12.408,147
12.457,168
12.506,151
12.555,180
12.604,252
12.653,609
12.702,1497
12.751,3312
12.8,5080
12.849,6250
12.898,6417
12.947,5409
12.996,3635
13.045,1925
13.094,722
13.143,265
13.192,157
13.241,123
13.29,109
13.339,103
13.388,101
13.437,87
13.486,73
13.535,81
13.584,69
13.633,72
13.682,74
13.731,63
13.78,60
13.829,62
13.878,58
13.927,62
13.976,66
14.025,67
14.074,60
14.123,61
14.172,66
14.221,53
14.27,66
14.319,64
14.368,63
14.417,60
14.466,64
14.515,57
14.564,71
14.613,75
14.662,61
14.711,69
14.76,78
14.809,72
14.858,74
14.907,69
14.956,70
15.005,70
15.054,74
15.103,74
15.152,75
15.201,67
15.25,78
15.299,61
15.348,77
15.397,74
15.446,66
15.495,63
15.544,76
15.593,76
15.642,68
15.691,73
15.74,81
15.789,81
15.838,81
15.887,82
15.936,76
15.985,89
16.034,86
16.083,96
16.132,95
16.181,85
16.23,96
16.279,82
16.328,100
16.377,93
16.426,90
16.475,98
16.524,77
16.573,93
16.622,96
16.671,80
16.72,96
16.769,86
16.818,94
16.867,91
16.916,94
16.965,90
17.014,100
17.063,99
17.112,90
17.161,98
17.21,100
17.259,91
17.308,99
17.357,90
17.406,81
17.455,101
17.504,95
17.553,102
17.602,83
17.651,103
17.7,98
17.749,93
17.798,93
17.847,83
17.896,87
17.945,86
17.994,78
18.043,86
18.092,87
18.141,83
18.19,85
18.239,79
18.288,87
18.337,91
18.386,93
18.435,84
18.484,97
18.533,84
18.582,93
18.631,90
18.68,91
18.729,85
18.778,88
18.827,84
18.876,97
18.925,78
18.974,80
19.023,82
19.072,94
19.121,84
19.17,100
19.219,93
19.268,96
19.317,95
19.366,94
19.415,91
19.464,91
19.513,94
19.562,95
19.611,86
19.66,96
19.709,92
19.758,89
19.807,96
19.856,86
19.905,85
19.954,88
20.003,92
20.052,97
20.101,109
20.15,142
20.199,150
20.248,157
20.297,166
20.346,175
20.395,149
20.444,137
20.493,116
20.542,104
20.591,106
20.64,92
20.689,101
20.738,97
20.787,107
20.836,106
20.885,97
20.934,102
20.983,106
21.032,103
21.081,105
21.13,108
21.179,114
21.228,97
21.277,111
21.326,109
21.375,105
21.424,105
21.473,111
21.522,105
21.571,114
21.62,106
21.669,112
21.718,110
21.767,110
21.816,119
21.865,110
21.914,118
21.963,120
22.012,118
22.061,136
22.11,143
22.159,183
22.208,324
22.257,644
22.306,1089
22.355,1518
22.404,1936
22.453,1967
22.502,1707
22.551,1259
22.6,792
22.649,441
22.698,221
22.747,142
22.796,118
22.845,108
22.894,115
22.943,106
22.992,116
23.041,106
23.09,105
23.139,98
23.188,106
23.237,112
23.286,128
23.335,132
23.384,159
23.433,183
23.482,175
23.531,167
23.58,165
23.629,135
23.678,120
23.727,108
23.776,110
23.825,96
23.874,108
23.923,106
23.972,99
24.021,113
24.07,103
24.119,137
24.168,117
24.217,143
24.266,142
24.315,143
24.364,128
24.413,132
24.462,113
24.511,104
24.56,109
24.609,111
24.658,109
24.707,105
24.756,102
24.805,102
24.854,113
24.903,106
24.952,110
25.001,112
25.05,110
25.099,112
25.148,112
25.197,113
25.246,116
25.295,109
25.344,118
25.393,147
25.442,156
25.491,180
25.54,173
25.589,202
25.638,203
25.687,308
25.736,514
25.785,887
25.834,1451
25.883,1890
25.932,2110
25.981,2039
26.03,1704
26.079,1251
26.128,754
26.177,391
26.226,208
26.275,145
26.324,122
26.373,113
26.422,115
26.471,101
26.52,112
26.569,103
26.618,98
26.667,100
26.716,103
26.765,107
26.814,94
26.863,93
26.912,86
26.961,100
27.01,95
27.059,95
27.108,100
27.157,92
27.206,94
27.255,91
27.304,89
27.353,96
27.402,90
27.451,101
27.5,97
27.549,89
27.598,93
27.647,90
27.696,90
27.745,87
27.794,93
27.843,98
27.892,84
27.941,93
27.99,94
28.039,97
28.088,85
28.137,100
28.186,95
28.235,92
28.284,93
28.333,97
28.382,93
28.431,92
28.48,96
28.529,101
28.578,116
28.627,125
28.676,151
28.725,203
28.774,222
28.823,249
28.872,254
28.921,221
28.97,183
29.019,154
29.068,125
29.117,116
29.166,106
29.215,111
29.264,116
29.313,103
29.362,113
29.411,108
29.46,106
29.509,108
29.558,112
29.607,106
29.656,115
29.705,109
29.754,111
29.803,109
29.852,106
29.901,110
29.95,110
29.999,114
30.048,117
30.097,120
30.146,124
30.195,116
30.244,110
30.293,123
30.342,122
30.391,120
30.44,121
30.489,118
30.538,125
30.587,116
30.636,116
30.685,132
30.734,128
30.783,122
30.832,160
30.881,178
30.93,213
30.979,258
31.028,285
31.077,272
31.126,274
31.175,234
31.224,222
31.273,183
31.322,162
31.371,139
31.42,134
31.469,138
31.518,140
31.567,169
31.616,257
31.665,504
31.714,1037
31.763,1824
31.812,2712
31.861,3369
31.91,3750
31.959,3534
32.008,2858
32.057,1971
32.106,1191
32.155,592
32.204,300
32.253,181
32.302,144
32.351,132
32.4,128
32.449,127
32.498,128
32.547,131
32.596,122
32.645,142
32.694,177
32.743,231
32.792,255
32.841,268
32.89,255
32.939,226
32.988,196
33.037,158
33.086,127
33.135,118
33.184,104
33.233,112
33.282,107
33.331,109
33.38,117
33.429,103
33.478,101
33.527,107
33.576,100
33.625,110
33.674,103
33.723,111
33.772,105
33.821,106
33.87,107
33.919,98
33.968,113
34.017,109
34.066,103
34.115,103
34.164,122
34.213,128
34.262,191
34.311,337
34.36,555
34.409,830
34.458,1072
34.507,1255
34.556,1287
34.605,1089
34.654,841
34.703,579
34.752,374
34.801,211
34.85,149
34.899,121
34.948,123
34.997,113
35.046,113
35.095,106
35.144,101
35.193,113
35.242,120
35.291,110
35.34,117
35.389,114
35.438,103
35.487,115
35.536,111
35.585,104
35.634,112
35.683,104
35.732,114
35.781,125
35.83,121
35.879,134
35.928,124
35.977,151
36.026,182
36.075,283
36.124,564
36.173,1142
36.222,1992
36.271,2932
36.32,3620
36.369,3890
36.418,3743
36.467,3132
36.516,2242
36.565,1364
36.614,669
36.663,335
36.712,182
36.761,142
36.81,122
36.859,106
36.908,104
36.957,101
37.006,101
37.055,97
37.104,100
37.153,110
37.202,91
37.251,100
37.3,97
37.349,103
37.398,118
37.447,126
37.496,135
37.545,116
37.594,114
37.643,113
37.692,98
37.741,100
37.79,81
37.839,89
37.888,90
37.937,98
37.986,93
38.035,88
38.084,90
38.133,91
38.182,98
38.231,92
38.28,90
38.329,94
38.378,87
38.427,77
38.476,85
38.525,91
38.574,92
38.623,81
38.672,93
38.721,88
38.77,77
38.819,82
38.868,89
38.917,87
38.966,79
39.015,87
39.064,94
39.113,92
39.162,105
39.211,125
39.26,108
39.309,125
39.358,114
39.407,106
39.456,100
39.505,93
39.554,79
39.603,83
39.652,87
39.701,79
39.75,82
39.799,77
39.848,81
39.897,78
39.946,83
39.995,76
40.044,83
40.093,90
40.142,71
40.191,90
40.24,80
40.289,81
40.338,83
40.387,90
40.436,85
40.485,72
40.534,76
40.583,83
40.632,88
40.681,79
40.73,75
40.779,83
40.828,86
40.877,100
40.926,88
40.975,94
41.024,88
41.073,100
41.122,101
41.171,102
41.22,120
41.269,139
41.318,241
41.367,430
41.416,665
41.465,922
41.514,1047
41.563,1132
41.612,1062
41.661,902
41.71,631
41.759,413
41.808,241
41.857,128
41.906,94
41.955,96
42.004,85
42.053,94
42.102,77
42.151,85
42.2,82
42.249,83
42.298,81
42.347,76
42.396,90
42.445,87
42.494,74
42.543,91
42.592,97
42.641,102
42.69,94
42.739,91
42.788,89
42.837,105
42.886,91
42.935,93
42.984,90
43.033,85
43.082,90
43.131,78
43.18,84
43.229,98
43.278,80
43.327,82
43.376,82
43.425,78
43.474,84
43.523,87
43.572,76
43.621,79
43.67,84
43.719,69
43.768,86
43.817,85
43.866,82
43.915,87
43.964,87
44.013,77
44.062,89
44.111,101
44.16,102
44.209,109
44.258,102
44.307,104
44.356,94
44.405,100
44.454,90
44.503,85
44.552,92
44.601,91
44.65,80
44.699,89
44.748,82
44.797,91
44.846,86
44.895,88
44.944,82
44.993,101
45.042,86
45.091,101
45.14,90
45.189,93
