#2-THETA,#INTENSITY
1.95,9508
2,6224
2.05,10390
2.1,6394
2.15,8440
2.2,7505
2.25,6595
2.3,8479
2.35,4886
2.4,7342
2.45,6278
2.5,5179
2.55,5891
2.6,5109
2.65,5775
2.7,5303
2.75,4635
2.8,4887
2.85,4335
2.9,4505
2.95,4176
3,3962
3.05,3615
3.1,3497
3.15,3687
3.2,3497
3.25,3169
3.3,3417
3.35,2950
3.4,2964
3.45,2880
3.5,2603
3.55,2629
3.6,2226
3.65,2546
3.7,2464
3.75,2046
3.8,2399
3.85,1930
3.9,2078
3.95,2047
4,2028
4.05,1952
4.1,1742
4.15,1990
4.2,1728
4.25,1783
4.3,1819
4.35,1512
4.4,1742
4.45,1629
4.5,1559
4.55,1550
4.6,1493
4.65,1496
4.7,1456
4.75,1238
4.8,1474
4.85,1388
4.9,1364
4.95,1349
5,1278
5.05,1366
5.1,1287
5.15,1217
5.2,1142
5.25,1218
5.3,1247
5.35,1203
5.4,1155
5.45,1091
5.5,1151
5.55,1126
5.6,1116
5.65,1082
5.7,1115
5.75,1154
5.8,1156
5.85,1148
5.9,1143
5.95,1142
6,1120
6.05,1238
6.1,1262
6.15,1265
6.2,1325
6.25,1433
6.3,1485
6.35,1507
6.4,1471
6.45,1523
6.5,1498
6.55,1469
6.6,1462
6.65,1339
6.7,1351
6.75,1223
6.8,1141
6.85,1129
6.9,1045
6.95,1011
7,936
7.05,926
7.1,884
7.15,876
7.2,887
7.25,895
7.3,807
7.35,786
7.4,750
7.45,782
7.5,758
7.55,776
7.6,741
7.65,726
7.7,729
7.75,689
7.8,771
7.85,734
7.9,703
7.95,719
8,664
8.05,675
8.1,754
8.15,640
8.2,722
8.25,652
8.3,688
8.35,683
8.4,638
8.45,670
8.5,601
8.55,641
8.6,666
8.65,648
8.7,683
8.75,669
8.8,652
8.85,659
8.9,655
8.95,681
9,659
9.05,652
9.1,619
9.15,614
9.2,676
9.25,642
9.3,632
9.35,642
9.4,674
9.45,598
9.5,657
9.55,638
9.6,630
9.65,681
9.7,606
9.75,613
9.8,616
9.85,654
9.9,634
9.95,697
10,624
10.05,653
10.1,647
10.15,663
10.2,638
10.25,633
10.3,638
10.35,606
10.4,645
10.45,619
10.5,588
10.55,579
10.6,602
10.65,617
10.7,593
10.75,601
10.8,602
10.85,551
10.9,598
10.95,591
11,564
11.05,566
11.1,601
11.15,558
11.2,590
11.25,553
11.3,552
11.35,581
11.4,539
11.45,565
11.5,545
11.55,508
11.6,570
11.65,539
11.7,506
11.75,533
11.8,535
11.85,552
11.9,560
11.95,552
12,550
12.05,528
12.1,494
12.15,552
12.2,532
12.25,544
12.3,529
12.35,555
12.4,553
12.45,560
12.5,581
12.55,588
12.6,593
12.65,603
12.7,609
12.75,602
12.8,606
12.85,637
12.9,583
12.95,617
13,561
13.05,547
13.1,558
13.15,612
13.2,545
13.25,547
13.3,553
13.35,585
13.4,588
13.45,538
13.5,557
13.55,555
13.6,569
13.65,541
13.7,551
13.75,548
13.8,548
