Mineral	AMCSD ID
Akaganeite	3079
Andesine	1052
Anorthite	1287
Arcanite	9456
Bassanite	13868
Clinoenstatite	2801
Enstatite	10680
Ferrosilite	487
Forsterite	2674
Hematite	143
Hydroniumjarosite	4441
Labradorite	760
Maghemite	7898
Microcline	962
Oligoclase	10721
Orthoclase	167
Pigeonite	209
Rozenite	9276
Starkeyite	9287
Albite	1682
Albite-high	536
Anhydrite	5117
Anorthoclase	874
Augite	1
Bytownite	9655
Cristobalite	1629
Fayalite	567
Fluorapatite	1256
Gypsum	11093
Hornblende	1249
Ilmenite	9082
Jarosite	20094
Magnetite	945
Natrojarosite	4576
Olivine - Forsterite50:Fayalite50	174
Orthopyroxene	4556
Quartz	6362
Sanidine	10740
Tridymite	6615
