name	AMCSD_code
Abernathyite	130
Abernathyite	131
Abernathyite	132
Hilgardite	696
Anorthite	19662
Anorthite	19663
Anorthite	19664
Anorthite	19665
Anorthite	19666
Anorthite	19667
Sanidine	781
Albite	19652
Albite	19653
Albite	19654
Albite	19655
Albite	19656
Albite	19657
Forsterite	885
Forsterite	886
Orthoclase	19651
Hilgardite	901
Okenite	902
Albite	19660
Albite	19661
Forsterite	1086
Forsterite	1087
Forsterite	1088
Forsterite	1118
Forsterite	1119
Forsterite	1120
Liebenbergite	1121
Liebenbergite	1122
Liebenbergite	1123
Liebenbergite	1124
Forsterite	1216
Forsterite	1217
Forsterite	1218
Forsterite	1219
Forsterite	1220
Liebenbergite	1221
Liebenbergite	1222
Liebenbergite	1223
Liebenbergite	1224
Liebenbergite	1225
Liebenbergite	1226
Liebenbergite	1227
Liebenbergite	1228
Yuanfuliite	1388
Yuanfuliite	1389
Yuanfuliite	1390
Yuanfuliite	1391
Yuanfuliite	1392
Yuanfuliite	1393
Yuanfuliite	1394
Bernalite	1607
Augite	1
Grunerite	2
Galena	3
Clausthalite	4
Altaite	5
Pyrite	6
Cinnabar	7
Marcasite	8
K2S2O6	9
Rb2S2O6	10
Colusite	11
Vermiculite	12
Swedenborgite	13
Berthierite	14
Valentinite	15
Alunite	16
Plazolite	17
Delafossite	18
Vermiculite	19
Gudmundite	20
Gudmundite	21
Cronstedtite	22
Ralstonite	23
Phlogopite	24
Phlogopite	25
Phlogopite	26
Lepidolite	27
Biotite	28
Sylvanite	29
Gillespite	30
SiC-IV	31
SiC-VI	32
Melonite	33
SiC-V	34
Svanbergite	35
Woodhouseite	36
Alunite	37
SiC-51R	38
SiC-87R	39
Nepheline	40
Epidote	41
Cubanite	42
Eudidymite	43
BrN2C4O4	44
Dravite	45
Decaborane	46
Rickardite	47
Bornite	48
Graphite	49
Tiemannite	50
Shandite	51
Krennerite	52
Claudetite	53
Pucherite	54
Aurostibite	55
SiC-19H	56
Pucherite	57
Melilite	58
Bastnasite-(Ce)	59
Parisite-(Ce)	60
Rontgenite-(Ce)	61
Montroseite	62
Vermiculite	63
Berthierite	64
Covellite	65
Klockmannite	66
Nepheline	67
Cubanite	68
Berthierite	69
Hawleyite	70
